"BehaviorSpace results (NetLogo 7.0.3)","Table version 2.0"
"C:\Users\saqla\Desktop\MCP_NetLogo\models\Ebola_Mongbwalu_InformationTrust.nlogox"
"mcp-experiment"
"06/21/2026 18:58:57:244 +0500"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-24","24","-24","24"
"[run number]","initial-misinformation","[step]","attack-rate","cum-deaths","current-cfr","cum-unsafe-burials","cum-safe-burials"
"4","0","150","95","546","71.8","512","34"
"2","0","145","92.5","503","68","472","31"
"6","0","165","94.9","568","74.8","534","34"
"5","0","157","94.3","530","70.3","504","26"
"3","0","163","94.6","536","70.8","501","35"
"1","0","171","92.9","535","72","500","35"
"10","0.25","117","99.6","596","74.8","550","46"
"11","0.25","145","99","606","76.5","550","56"
"9","0.25","121","99","584","73.7","541","43"
"7","0","145","94.9","553","72.9","508","45"
"12","0.25","110","99","596","75.3","541","55"
"8","0","181","91","530","72.8","483","47"
"13","0.25","109","99.4","596","75","560","36"
"14","0.25","104","99.9","608","76.1","566","42"
"16","0.25","124","99.4","620","78","565","55"
"17","0.5","115","99.8","583","73.1","551","32"
"15","0.25","125","99.6","585","73.4","546","39"
"18","0.5","107","99.9","606","75.8","571","35"
"20","0.5","115","99.5","616","77.4","577","39"
"19","0.5","110","99.5","620","77.9","576","44"
"22","0.5","105","99.8","627","78.6","587","40"
"23","0.5","106","99.5","580","72.9","535","45"
"21","0.5","130","99.3","601","75.7","563","38"
"24","0.5","117","99.8","615","77.1","568","47"
"25","0.75","97","100","647","80.9","599","48"
"26","0.75","101","99.9","632","79.1","583","49"
"27","0.75","110","99.6","618","77.5","579","39"
"28","0.75","96","99.8","599","75.1","555","44"
"29","0.75","104","99.8","613","76.8","571","42"
"30","0.75","111","99.8","615","77.1","567","48"
"31","0.75","109","99.9","612","76.6","576","36"
"32","0.75","114","100","632","79","575","57"
"33","0.9","104","99.9","602","75.3","561","41"
"34","0.9","110","99.9","618","77.3","583","35"
"35","0.9","107","99.9","619","77.5","585","34"
"36","0.9","133","99.4","619","77.9","570","49"
"37","0.9","106","100","620","77.5","581","39"
"38","0.9","94","99.8","610","76.4","565","45"
"39","0.9","101","100","643","80.4","601","42"
"40","0.9","111","100","618","77.3","581","37"
